time,.linear.x,.linear.y,.linear.z,.angular.x,.angular.y,.angular.z
2016/05/14/16:16:35.479474,1.0,0.0,0.0,0.0,0.0,0.0
2016/05/14/16:16:35.529385,1.0,0.0,0.0,0.0,0.0,0.0
2016/05/14/16:16:35.579450,1.0,0.0,0.0,0.0,0.0,0.0
2016/05/14/16:16:35.629443,1.0,0.0,0.0,0.0,0.0,0.0
2016/05/14/16:16:35.679477,1.0,0.0,0.0,0.0,0.0,0.0
2016/05/14/16:16:35.729413,1.0,0.0,0.0,0.0,0.0,0.0
2016/05/14/16:16:35.779513,1.0,0.0,0.0,0.0,0.0,0.0
2016/05/14/16:16:35.829463,1.0,0.0,0.0,0.0,0.0,0.0
2016/05/14/16:16:35.879501,1.0,0.0,0.0,0.0,0.0,0.0
2016/05/14/16:16:35.929372,1.0,0.0,0.0,0.0,0.0,0.0
2016/05/14/16:16:35.979358,1.0,0.0,0.0,0.0,0.0,0.0
2016/05/14/16:16:36.029312,1.0,0.0,0.0,0.0,0.0,0.0
2016/05/14/16:16:36.079417,1.0,0.0,0.0,0.0,0.0,0.0
2016/05/14/16:16:36.129335,1.0,0.0,0.0,0.0,0.0,0.0
2016/05/14/16:16:36.179411,1.0,0.0,0.0,0.0,0.0,0.0
2016/05/14/16:16:36.229413,1.0,0.0,0.0,0.0,0.0,0.0
2016/05/14/16:16:36.279402,1.0,0.0,0.0,0.0,0.0,0.0
2016/05/14/16:16:36.329525,1.0,0.0,0.0,0.0,0.0,0.0
2016/05/14/16:16:36.379415,1.0,0.0,0.0,0.0,0.0,0.0
2016/05/14/16:16:36.429381,1.0,0.0,0.0,0.0,0.0,0.0
2016/05/14/16:16:36.479465,1.0,0.0,0.0,0.0,0.0,0.0
2016/05/14/16:16:36.529495,1.0,0.0,0.0,0.0,0.0,0.0
2016/05/14/16:16:36.579578,1.0,0.0,0.0,0.0,0.0,0.0
2016/05/14/16:16:36.629488,1.0,0.0,0.0,0.0,0.0,0.0
2016/05/14/16:16:36.679413,1.0,0.0,0.0,0.0,0.0,0.0
2016/05/14/16:16:36.729473,1.0,0.0,0.0,0.0,0.0,0.0
2016/05/14/16:16:36.779382,1.0,0.0,0.0,0.0,0.0,0.0
2016/05/14/16:16:36.829406,1.0,0.0,0.0,0.0,0.0,0.0
2016/05/14/16:16:36.879366,1.0,0.0,0.0,0.0,0.0,0.0
2016/05/14/16:16:36.929475,1.0,0.0,0.0,0.0,0.0,0.0
2016/05/14/16:16:36.979367,1.0,0.0,0.0,0.0,0.0,0.0
2016/05/14/16:16:37.029339,1.0,0.0,0.0,0.0,0.0,0.0
2016/05/14/16:16:37.079352,1.0,0.0,0.0,0.0,0.0,0.0
2016/05/14/16:16:37.129417,1.0,0.0,0.0,0.0,0.0,0.0
2016/05/14/16:16:37.179563,1.0,0.0,0.0,0.0,0.0,0.0
2016/05/14/16:16:37.229460,1.0,0.0,0.0,0.0,0.0,0.0
2016/05/14/16:16:37.279482,1.0,0.0,0.0,0.0,0.0,0.0
2016/05/14/16:16:37.329440,1.0,0.0,0.0,0.0,0.0,0.0
2016/05/14/16:16:37.379527,1.0,0.0,0.0,0.0,0.0,0.0
2016/05/14/16:16:37.429408,1.0,0.0,0.0,0.0,0.0,0.0
2016/05/14/16:16:37.479523,1.0,0.0,0.0,0.0,0.0,0.0
2016/05/14/16:16:37.529320,1.0,0.0,0.0,0.0,0.0,0.0
2016/05/14/16:16:37.579426,1.0,0.0,0.0,0.0,0.0,0.0
2016/05/14/16:16:37.629375,1.0,0.0,0.0,0.0,0.0,0.0
2016/05/14/16:16:37.679375,1.0,0.0,0.0,0.0,0.0,0.0
2016/05/14/16:16:37.729413,1.0,0.0,0.0,0.0,0.0,0.0
